"user_id","count","total_price"
1060925,13,109604
1060926,1,4725
1060927,1,1323
1060928,9,47704
1060929,1,1323
1060931,1,1323
1060932,1,1323
1060934,1,3969
1060935,6,52711
1060936,1,1323
1060937,1,1323
1060938,5,94882
1060940,1,6048
1060941,1,1323
1060943,1,1323
1060944,1,1323
1060946,1,1323
1060947,1,1323
1060948,1,1323
1060949,2,11378
1060950,1,1323
1060951,1,1323
1060952,1,1323
1060953,1,4725
1060954,1,1323
1060956,1,1323
1060957,1,1323
1060959,1,1323
1060960,2,12238
1060961,2,11907
1060962,1,1323
1060963,1,1323
1060965,1,1323
1060966,1,1323
1060967,1,1323
1060969,1,7938
1060972,1,1323
1060976,1,2646
1060978,2,12701
1060979,1,6048
1060981,1,8694
1060982,1,7938
1060983,1,3402
1060984,1,12568
1060987,1,7938
1060988,1,1890
1060989,1,10055
1060990,2,13419
1060994,1,7938
1060996,1,8694
1060998,7,74216
1061000,1,7938
1061001,1,2646
1061003,7,66377
1061004,7,72169
1061007,1,2646
1061008,1,2646
1061009,1,2646
1061010,2,18749
1061011,1,2646
1061012,3,10584
1061013,1,2646
1061014,1,2646
1061016,2,6804
1061019,1,2646
1061022,2,12701
1061024,1,8694
1061025,1,7938
1061026,1,2646
1061027,1,2646
1061029,1,8694
1061030,1,2646
1061031,3,7938
1061032,1,8694
1061033,1,10055
1061034,2,10584
1061038,1,2646
1061039,1,2646
1061041,3,70229
1061042,3,22756
1061044,1,2646
1061047,3,27688
1061051,1,7938
1061052,1,7938
1061053,1,2646
1061054,1,10055
1061055,1,6048
1061056,2,12474
1061057,5,21357
1061058,1,7938
